time,theta_0,theta_1
1.853088531494140625e+02,9.387760162353515625e+00,4.313682764768600464e-02
1.858096771240234375e+02,9.387763977050781250e+00,4.309180378913879395e-02
1.863105163574218750e+02,9.387754440307617188e+00,4.305467009544372559e-02
1.868113555908203125e+02,9.387731552124023438e+00,4.302402958273887634e-02
1.873121795654296875e+02,9.387700080871582031e+00,4.299893602728843689e-02
1.878130187988281250e+02,9.387661933898925781e+00,4.297804459929466248e-02
1.883138580322265625e+02,9.387622833251953125e+00,4.296076670289039612e-02
1.888146972656250000e+02,9.387579917907714844e+00,4.294645413756370544e-02
1.893155212402343750e+02,9.387536048889160156e+00,4.293483495712280273e-02
1.898163604736328125e+02,9.387493133544921875e+00,4.292501509189605713e-02
1.903171997070312500e+02,9.387450218200683594e+00,4.291671887040138245e-02
1.908180236816406250e+02,8.853922843933105469e+00,5.481559038162231445e-01
1.913188629150390625e+02,8.978075981140136719e+00,3.916126489639282227e-01
1.918197021484375000e+02,9.050982475280761719e+00,3.074192702770233154e-01
1.923205413818359375e+02,9.106765747070312500e+00,2.484245449304580688e-01
1.928213653564453125e+02,9.153740882873535156e+00,2.028042525053024292e-01
1.933222045898437500e+02,9.194664955139160156e+00,1.663692593574523926e-01
1.938230438232421875e+02,9.230676651000976562e+00,1.370802074670791626e-01
1.943238677978515625e+02,9.262100219726562500e+00,1.138332113623619080e-01
1.948247070312500000e+02,9.288871765136718750e+00,9.586917608976364136e-02
1.953255462646484375e+02,9.311050415039062500e+00,8.234745264053344727e-02
1.958263702392578125e+02,9.329031944274902344e+00,7.232075929641723633e-02
1.963272094726562500e+02,9.343427658081054688e+00,6.490539014339447021e-02
1.968280487060546875e+02,9.354886054992675781e+00,5.939025431871414185e-02
1.973288879394531250e+02,9.363995552062988281e+00,5.524773895740509033e-02
1.978297119140625000e+02,9.371244430541992188e+00,5.210162326693534851e-02
1.983305511474609375e+02,9.377018928527832031e+00,4.968550056219100952e-02
1.988313903808593750e+02,8.861860275268554688e+00,5.464218258857727051e-01
1.993322143554687500e+02,8.530150413513183594e+00,1.029121994972229004e+00
1.998330535888671875e+02,8.781365394592285156e+00,6.670612096786499023e-01
2.003338928222656250e+02,8.900543212890625000e+00,5.059699416160583496e-01
2.008347320556640625e+02,8.755224227905273438e+00,7.090182304382324219e-01
2.013355560302734375e+02,8.886796951293945312e+00,5.300906896591186523e-01
2.018363952636718750e+02,8.973259925842285156e+00,4.197847843170166016e-01
2.023372344970703125e+02,9.041795730590820312e+00,3.384232819080352783e-01
2.028380584716796875e+02,9.099564552307128906e+00,2.748040854930877686e-01
2.033388977050781250e+02,9.149475097656250000e+00,2.240417450666427612e-01
2.038397369384765625e+02,9.193130493164062500e+00,1.832056641578674316e-01
2.043405609130859375e+02,9.231635093688964844e+00,1.502244174480438232e-01
2.048414001464843750e+02,9.265680313110351562e+00,1.236241459846496582e-01
2.053422393798828125e+02,9.295471191406250000e+00,1.024836748838424683e-01
2.058430786132812500e+02,9.320899963378906250e+00,8.613497763872146606e-02
2.063439025878906250e+02,9.341980934143066406e+00,7.382572442293167114e-02
2.068447418212890625e+02,9.359062194824218750e+00,6.469985097646713257e-02
2.073455810546875000e+02,9.372709274291992188e+00,5.795606225728988647e-02
2.078464050292968750e+02,9.383532524108886719e+00,5.294552072882652283e-02
2.083472442626953125e+02,9.392091751098632812e+00,4.918642714619636536e-02
